Training_epochs,average_reward
1600000,0.132
3200000,1.753
4800000,1.679
6400000,0.739
8000000,1.862
9600000,2
11200000,2.851
12800000,5.54
14400000,5.744
16000000,8.49
17600000,9.26
19200000,10.912
20800000,12.641
22400000,13.957
24000000,15.749
25600000,17.446
27200000,17.873
28800000,18.163
30400000,20.333
32000000,21.386
33600000,24.49
35200000,27.441
36800000,31.273
38400000,36.27
40000000,40.864
41600000,42.599
43200000,45.358
44800000,47.711
46400000,47.64
48000000,46.58
49600000,50.791
51200000,54.934
52800000,57.16
54400000,59.344
56000000,62.829
57600000,63.001
59200000,63.808
60800000,64.488
62400000,65.777
64000000,66.836
65600000,68.734
67200000,70.731
68800000,72.769
70400000,74.528
72000000,76.623
73600000,78.305
75200000,80.72
76800000,83.285
78400000,89.51
80000000,94.159
81600000,98.636
83200000,102.907
84800000,105.857
86400000,110.451
88000000,115.97
89600000,118.924
91200000,122.876
92800000,126.568
94400000,130.694
96000000,145.191
